,Strand,Sub-strand,"Specific Learning
Outcomes",Suggested Learning Experiences,key_inquiry,Exceeds Expectations,Meets Expectations,Approaches Expectations,Below Expectations,grade
28,"2.0
Measurement","2.2 Mass
(6lessons)","identify the kilogram as a
unit of measuring mass,"," Learners in pairs/groups to use items of same
mass and a beam balance to measure different
masses record and discuss the results.
 Learners in pairs/groups to use an item
equivalent to a 1-kilogram mass and a beam
balance to make other 1-kilogram masses and
use them to compare other masses.
 Learner to practice measuring mass in
kilograms using a 1-kilogram mass.
 Learners to play digital games involving mass
in kilograms.","What can we use
to measure mass?","Correctly: measures mass using fixed
units, identifies and uses the
kilogram as a unit measuring mass
with ease.","Correctly: measures mass using fixed
units, identifies and uses the
kilogram as a unit of measuring
mass.","Inconsistently: measures mass using
fixed units, identifies and uses the
kilogram as a unit of measuring
mass","Major inaccuracies in: measuring
mass using fixed units,
identifying and using the
kilogram as a unit measuring
mass.",two
29,"2.0
Measurement","2.2 Mass
(6lessons)",measure mass in kilograms," Learners in pairs/groups to use items of same
mass and a beam balance to measure different
masses record and discuss the results.
 Learners in pairs/groups to use an item
equivalent to a 1-kilogram mass and a beam
balance to make other 1-kilogram masses and
use them to compare other masses.
 Learner to practice measuring mass in
kilograms using a 1-kilogram mass.
 Learners to play digital games involving mass
in kilograms.","What can we use
to measure mass?","Correctly: measures mass using fixed
units, identifies and uses the
kilogram as a unit measuring mass
with ease.","Correctly: measures mass using fixed
units, identifies and uses the
kilogram as a unit of measuring
mass.","Inconsistently: measures mass using
fixed units, identifies and uses the
kilogram as a unit of measuring
mass","Major inaccuracies in: measuring
mass using fixed units,
identifying and using the
kilogram as a unit measuring
mass.",two
30,"2.0
Measurement","2.3 Capacity
(8lessons)","measure capacity using fixed
units,"," Learners in pairs /groups to use small containers of
equal capacity to fill bigger containers of same
capacity but different shapes with water and count
the number of small containers used to fill them.
 Learners in pairs/groups to use 1 litre containers to
fill big containers with water and count the number of
litres used to fill the big containers.
 Learners in groups to measure the capacity of
different containers in litres.
 Learners to play digital games involving capacity.","What can you use to
measure capacity of
different containers?","Correctly: relates months of the year
to various activities, identifies
number of days in each month,
measures time using arbitrary and
fixed units, identifies the minute and
the hour hand in a clock face and
reads, tells and writes time by the
hour with ease.","Correctly: relates months of the year
to various activities, identifies
number of days in each month,
measures time using arbitrary and
fixed units, identifies the minute and
the hour hand in a clock face and
reads, tells and writes time by the
hour.","Inconsistently: relates months of the
year to various activities, identifies
number of days in each month,
measures time using arbitrary and
fixed units, identifies the minute
and the hour hand in a clock face
and reads, tells and writes time by
the hour.","Major inaccuracies in: relating
months of the year to various
activities, identifying number of
days in each month, measuring time
using arbitrary and fixed units,
identifying the minute and the hour
hand in a clock face and reading,
telling and writing time by the hour.",two
31,"2.0
Measurement","2.3 Capacity
(8lessons)","identify the litre as a unit
of measuring capacity,"," Learners in pairs /groups to use small containers of
equal capacity to fill bigger containers of same
capacity but different shapes with water and count
the number of small containers used to fill them.
 Learners in pairs/groups to use 1 litre containers to
fill big containers with water and count the number of
litres used to fill the big containers.
 Learners in groups to measure the capacity of
different containers in litres.
 Learners to play digital games involving capacity.","What can you use to
measure capacity of
different containers?","Correctly: relates months of the year
to various activities, identifies
number of days in each month,
measures time using arbitrary and
fixed units, identifies the minute and
the hour hand in a clock face and
reads, tells and writes time by the
hour with ease.","Correctly: relates months of the year
to various activities, identifies
number of days in each month,
measures time using arbitrary and
fixed units, identifies the minute and
the hour hand in a clock face and
reads, tells and writes time by the
hour.","Inconsistently: relates months of the
year to various activities, identifies
number of days in each month,
measures time using arbitrary and
fixed units, identifies the minute
and the hour hand in a clock face
and reads, tells and writes time by
the hour.","Major inaccuracies in: relating
months of the year to various
activities, identifying number of
days in each month, measuring time
using arbitrary and fixed units,
identifying the minute and the hour
hand in a clock face and reading,
telling and writing time by the hour.",two
32,"2.0
Measurement","2.3 Capacity
(8lessons)",measure capacity in litres.," Learners in pairs /groups to use small containers of
equal capacity to fill bigger containers of same
capacity but different shapes with water and count
the number of small containers used to fill them.
 Learners in pairs/groups to use 1 litre containers to
fill big containers with water and count the number of
litres used to fill the big containers.
 Learners in groups to measure the capacity of
different containers in litres.
 Learners to play digital games involving capacity.","What can you use to
measure capacity of
different containers?","Correctly: relates months of the year
to various activities, identifies
number of days in each month,
measures time using arbitrary and
fixed units, identifies the minute and
the hour hand in a clock face and
reads, tells and writes time by the
hour with ease.","Correctly: relates months of the year
to various activities, identifies
number of days in each month,
measures time using arbitrary and
fixed units, identifies the minute and
the hour hand in a clock face and
reads, tells and writes time by the
hour.","Inconsistently: relates months of the
year to various activities, identifies
number of days in each month,
measures time using arbitrary and
fixed units, identifies the minute
and the hour hand in a clock face
and reads, tells and writes time by
the hour.","Major inaccuracies in: relating
months of the year to various
activities, identifying number of
days in each month, measuring time
using arbitrary and fixed units,
identifying the minute and the hour
hand in a clock face and reading,
telling and writing time by the hour.",two
33,"2.0
Measureme
nt","2.5Money
(10lessons)","identify kenyan currency coins
and notes up to sh.100,"," Learners in pairs/groups to sort out Kenyan currency
coins and notes according to their features up to
sh.100.
 Learners in groups to put different coins and notes
together and separate them according to their values
and features.
 Learners in pairs/groups to count money in sh.1,
sh.5, sh.10, sh.20, sh.40, sh.50 up to sh.100.
 Learners in pairs/groups to make same amount
of money using different denominations.
 Learners in pairs/groups to discuss items they cannot do
without and those that are necessary but they can do
without up to a value of sh.100.
 Learners in pairs/groups to classify needs and wants.
 Learners to discuss the importance of saving.
 Learners to play digital games involving money.
 Learners could record a video during a role play of
classroom shopping activities for replay and discussion
later.","How can you
identify different
Kenyan
currencies?","Correctly: identifies Kenyan currency
notes and coins beyond sh.100, counts
money in different denominations,
works out equivalence of different
denominations, relates money to
goods and services and differentiates
needs and wants.","Correctly: identifies Kenyan currency
notes and coins up to sh.100, counts
money in different denominations,
works out equivalence of different
denominations and relates money to
goods and services, and differentiates
needs and wants.","Inconsistently: identifies Kenyan
currency notes and coins up to
sh.100, counts money in different
denominations, works out
equivalence of different
denominations, relates money to
goods and services and differentiates
needs and wants.","Major inaccuracies in: identifying
Kenyan currency notes and coins up
to sh.100, counting money in
different denominations, working out
equivalence of different
denominations, relating money to
goods and services and differentiating
needs and wants.",two
34,"2.0
Measureme
nt","2.5Money
(10lessons)","count money in sh.1, sh.5,
sh.10, sh.20, sh.40, sh.50 up
to sh.100,"," Learners in pairs/groups to sort out Kenyan currency
coins and notes according to their features up to
sh.100.
 Learners in groups to put different coins and notes
together and separate them according to their values
and features.
 Learners in pairs/groups to count money in sh.1,
sh.5, sh.10, sh.20, sh.40, sh.50 up to sh.100.
 Learners in pairs/groups to make same amount
of money using different denominations.
 Learners in pairs/groups to discuss items they cannot do
without and those that are necessary but they can do
without up to a value of sh.100.
 Learners in pairs/groups to classify needs and wants.
 Learners to discuss the importance of saving.
 Learners to play digital games involving money.
 Learners could record a video during a role play of
classroom shopping activities for replay and discussion
later.","How can you
identify different
Kenyan
currencies?","Correctly: identifies Kenyan currency
notes and coins beyond sh.100, counts
money in different denominations,
works out equivalence of different
denominations, relates money to
goods and services and differentiates
needs and wants.","Correctly: identifies Kenyan currency
notes and coins up to sh.100, counts
money in different denominations,
works out equivalence of different
denominations and relates money to
goods and services, and differentiates
needs and wants.","Inconsistently: identifies Kenyan
currency notes and coins up to
sh.100, counts money in different
denominations, works out
equivalence of different
denominations, relates money to
goods and services and differentiates
needs and wants.","Major inaccuracies in: identifying
Kenyan currency notes and coins up
to sh.100, counting money in
different denominations, working out
equivalence of different
denominations, relating money to
goods and services and differentiating
needs and wants.",two
35,"2.0
Measureme
nt","2.5Money
(10lessons)","represent same amount of
money in different
denominations,"," Learners in pairs/groups to sort out Kenyan currency
coins and notes according to their features up to
sh.100.
 Learners in groups to put different coins and notes
together and separate them according to their values
and features.
 Learners in pairs/groups to count money in sh.1,
sh.5, sh.10, sh.20, sh.40, sh.50 up to sh.100.
 Learners in pairs/groups to make same amount
of money using different denominations.
 Learners in pairs/groups to discuss items they cannot do
without and those that are necessary but they can do
without up to a value of sh.100.
 Learners in pairs/groups to classify needs and wants.
 Learners to discuss the importance of saving.
 Learners to play digital games involving money.
 Learners could record a video during a role play of
classroom shopping activities for replay and discussion
later.","How can you
identify different
Kenyan
currencies?","Correctly: identifies Kenyan currency
notes and coins beyond sh.100, counts
money in different denominations,
works out equivalence of different
denominations, relates money to
goods and services and differentiates
needs and wants.","Correctly: identifies Kenyan currency
notes and coins up to sh.100, counts
money in different denominations,
works out equivalence of different
denominations and relates money to
goods and services, and differentiates
needs and wants.","Inconsistently: identifies Kenyan
currency notes and coins up to
sh.100, counts money in different
denominations, works out
equivalence of different
denominations, relates money to
goods and services and differentiates
needs and wants.","Major inaccuracies in: identifying
Kenyan currency notes and coins up
to sh.100, counting money in
different denominations, working out
equivalence of different
denominations, relating money to
goods and services and differentiating
needs and wants.",two
36,"2.0
Measureme
nt","2.5Money
(10lessons)","relate money to goods and
services up to sh.100,"," Learners in pairs/groups to sort out Kenyan currency
coins and notes according to their features up to
sh.100.
 Learners in groups to put different coins and notes
together and separate them according to their values
and features.
 Learners in pairs/groups to count money in sh.1,
sh.5, sh.10, sh.20, sh.40, sh.50 up to sh.100.
 Learners in pairs/groups to make same amount
of money using different denominations.
 Learners in pairs/groups to discuss items they cannot do
without and those that are necessary but they can do
without up to a value of sh.100.
 Learners in pairs/groups to classify needs and wants.
 Learners to discuss the importance of saving.
 Learners to play digital games involving money.
 Learners could record a video during a role play of
classroom shopping activities for replay and discussion
later.","How can you
identify different
Kenyan
currencies?","Correctly: identifies Kenyan currency
notes and coins beyond sh.100, counts
money in different denominations,
works out equivalence of different
denominations, relates money to
goods and services and differentiates
needs and wants.","Correctly: identifies Kenyan currency
notes and coins up to sh.100, counts
money in different denominations,
works out equivalence of different
denominations and relates money to
goods and services, and differentiates
needs and wants.","Inconsistently: identifies Kenyan
currency notes and coins up to
sh.100, counts money in different
denominations, works out
equivalence of different
denominations, relates money to
goods and services and differentiates
needs and wants.","Major inaccuracies in: identifying
Kenyan currency notes and coins up
to sh.100, counting money in
different denominations, working out
equivalence of different
denominations, relating money to
goods and services and differentiating
needs and wants.",two
37,"2.0
Measureme
nt","2.5Money
(10lessons)","differentiate between needs and
wants in real life context,"," Learners in pairs/groups to sort out Kenyan currency
coins and notes according to their features up to
sh.100.
 Learners in groups to put different coins and notes
together and separate them according to their values
and features.
 Learners in pairs/groups to count money in sh.1,
sh.5, sh.10, sh.20, sh.40, sh.50 up to sh.100.
 Learners in pairs/groups to make same amount
of money using different denominations.
 Learners in pairs/groups to discuss items they cannot do
without and those that are necessary but they can do
without up to a value of sh.100.
 Learners in pairs/groups to classify needs and wants.
 Learners to discuss the importance of saving.
 Learners to play digital games involving money.
 Learners could record a video during a role play of
classroom shopping activities for replay and discussion
later.","How can you
identify different
Kenyan
currencies?","Correctly: identifies Kenyan currency
notes and coins beyond sh.100, counts
money in different denominations,
works out equivalence of different
denominations, relates money to
goods and services and differentiates
needs and wants.","Correctly: identifies Kenyan currency
notes and coins up to sh.100, counts
money in different denominations,
works out equivalence of different
denominations and relates money to
goods and services, and differentiates
needs and wants.","Inconsistently: identifies Kenyan
currency notes and coins up to
sh.100, counts money in different
denominations, works out
equivalence of different
denominations, relates money to
goods and services and differentiates
needs and wants.","Major inaccuracies in: identifying
Kenyan currency notes and coins up
to sh.100, counting money in
different denominations, working out
equivalence of different
denominations, relating money to
goods and services and differentiating
needs and wants.",two
38,"2.0
Measureme
nt","2.5Money
(10lessons)","appreciate spending and saving
of money in real life situations."," Learners in pairs/groups to sort out Kenyan currency
coins and notes according to their features up to
sh.100.
 Learners in groups to put different coins and notes
together and separate them according to their values
and features.
 Learners in pairs/groups to count money in sh.1,
sh.5, sh.10, sh.20, sh.40, sh.50 up to sh.100.
 Learners in pairs/groups to make same amount
of money using different denominations.
 Learners in pairs/groups to discuss items they cannot do
without and those that are necessary but they can do
without up to a value of sh.100.
 Learners in pairs/groups to classify needs and wants.
 Learners to discuss the importance of saving.
 Learners to play digital games involving money.
 Learners could record a video during a role play of
classroom shopping activities for replay and discussion
later.","How can you
identify different
Kenyan
currencies?","Correctly: identifies Kenyan currency
notes and coins beyond sh.100, counts
money in different denominations,
works out equivalence of different
denominations, relates money to
goods and services and differentiates
needs and wants.","Correctly: identifies Kenyan currency
notes and coins up to sh.100, counts
money in different denominations,
works out equivalence of different
denominations and relates money to
goods and services, and differentiates
needs and wants.","Inconsistently: identifies Kenyan
currency notes and coins up to
sh.100, counts money in different
denominations, works out
equivalence of different
denominations, relates money to
goods and services and differentiates
needs and wants.","Major inaccuracies in: identifying
Kenyan currency notes and coins up
to sh.100, counting money in
different denominations, working out
equivalence of different
denominations, relating money to
goods and services and differentiating
needs and wants.",two
39,3.0Geometry,"3.1 Lines
(5
lessons)","draw and model straight lines,"," Learners in pairs /groups to model straight
and curved lines using sticks plasticine /clay/
papiermache.
 Learners in groups to model straight and
curved lines using strings.
 Learners in groups to model straight and
curved lines by holding their hands.
 Learners to draw straight and curved lines.
 Learners to model straight and curved lines using
learner digital devices.","What types
of lines do
you know?"," Correctly draws and models
straight and curved lines with
ease."," Correctly draws and models
straight and curved lines."," Inconsistently draws and
models straight and curved
lines."," Major inaccuracies in drawing
and modelling straight and
curved lines",two
40,3.0Geometry,"3.1 Lines
(5
lessons)",draw and model curved lines.," Learners in pairs /groups to model straight
and curved lines using sticks plasticine /clay/
papiermache.
 Learners in groups to model straight and
curved lines using strings.
 Learners in groups to model straight and
curved lines by holding their hands.
 Learners to draw straight and curved lines.
 Learners to model straight and curved lines using
learner digital devices.","What types
of lines do
you know?"," Correctly draws and models
straight and curved lines with
ease."," Correctly draws and models
straight and curved lines."," Inconsistently draws and
models straight and curved
lines."," Major inaccuracies in drawing
and modelling straight and
curved lines",two
41,"3.0
Geometry","3.2 Shapes
(5lessons)","identify rectangles, circles,
triangles, ovals and squares,"," Learners in pairs/groups to sort and group
items of different shapes.
 Learners in pairs/groups to discuss types of
lines making different shapes.
 Learners to identify and name the
different shapes found in their classroom.
 Learners to make patterns of their choice
using the five shapes.
 Learners in groups to make patterns,
colour them and share with other groups.
 Learners to make patterns using digital devices."," What shapes can
you identify in
your
environment?
 What shapes are
made by straight
lines?
 What shapes are
made by curved
lines?","Correctly identifies shapes and makes
patterns involving rectangles, circles,
triangles, ovals and squares with ease.","Correctly identifies shapes and makes
patterns involving rectangles, circles,
triangles, ovals and squares","Inaccurately identifies shapes and
makes patterns involving rectangles,
circles, triangles, ovals and squares.","Major inaccuracies in identifying
shapes and making patterns involving
rectangles, triangles, circles, ovals
and squares.",two
42,"3.0
Geometry","3.2 Shapes
(5lessons)","appreciate making patterns
involving rectangles, circles,
triangles, ovals and squares."," Learners in pairs/groups to sort and group
items of different shapes.
 Learners in pairs/groups to discuss types of
lines making different shapes.
 Learners to identify and name the
different shapes found in their classroom.
 Learners to make patterns of their choice
using the five shapes.
 Learners in groups to make patterns,
colour them and share with other groups.
 Learners to make patterns using digital devices."," What shapes can
you identify in
your
environment?
 What shapes are
made by straight
lines?
 What shapes are
made by curved
lines?","Correctly identifies shapes and makes
patterns involving rectangles, circles,
triangles, ovals and squares with ease.","Correctly identifies shapes and makes
patterns involving rectangles, circles,
triangles, ovals and squares","Inaccurately identifies shapes and
makes patterns involving rectangles,
circles, triangles, ovals and squares.","Major inaccuracies in identifying
shapes and making patterns involving
rectangles, triangles, circles, ovals
and squares.",two
